rep_id,n,tau,rho,p,fun,time
1,262144,0,0,2,Knight (original),0.0645000000000073
1,262144,0,0,2,Knight (extended),0.136500000000015
1,262144,0,0,2,d-a-c,1.14239999999991
1,262144,0,0,4,d-a-c,6.69959999999992
1,262144,0,0,6,d-a-c,14.3597999999998
1,262144,0,0,8,d-a-c,20.2932000000001
1,262144,0,0,10,d-a-c,80.3864000000001
1,262144,0,0,2,brute force,465.208999999999
1,262144,0,0,10,brute force,804.881999999998
2,262144,0,0,2,Knight (original),0.0643500000000131
2,262144,0,0,2,Knight (extended),0.136230000000032
2,262144,0,0,2,d-a-c,1.16240000000034
2,262144,0,0,4,d-a-c,6.71680000000051
2,262144,0,0,6,d-a-c,14.4317999999999
2,262144,0,0,8,d-a-c,20.4663999999997
2,262144,0,0,10,d-a-c,80.3770000000004
2,262144,0,0,2,brute force,458.538000000001
2,262144,0,0,10,brute force,793.467999999997
3,262144,0,0,2,Knight (original),0.0643400000000111
3,262144,0,0,2,Knight (extended),0.137009999999973
3,262144,0,0,2,d-a-c,1.16100000000006
3,262144,0,0,4,d-a-c,6.78440000000046
3,262144,0,0,6,d-a-c,14.4123999999996
3,262144,0,0,8,d-a-c,20.4103999999999
3,262144,0,0,10,d-a-c,80.5347999999998
3,262144,0,0,2,brute force,458.009000000002
3,262144,0,0,10,brute force,781.567999999999
4,262144,0,0,2,Knight (original),0.0638699999999881
4,262144,0,0,2,Knight (extended),0.135280000000021
4,262144,0,0,2,d-a-c,1.15120000000024
4,262144,0,0,4,d-a-c,6.76039999999994
4,262144,0,0,6,d-a-c,14.3373999999996
4,262144,0,0,8,d-a-c,20.2394
4,262144,0,0,10,d-a-c,80.4176
4,262144,0,0,2,brute force,471.794999999998
4,262144,0,0,10,brute force,816.064000000002
5,262144,0,0,2,Knight (original),0.0645000000000073
5,262144,0,0,2,Knight (extended),0.140360000000001
5,262144,0,0,2,d-a-c,1.18660000000018
5,262144,0,0,4,d-a-c,6.82160000000004
5,262144,0,0,6,d-a-c,14.3671999999999
5,262144,0,0,8,d-a-c,20.3663999999997
5,262144,0,0,10,d-a-c,80.4447999999997
5,262144,0,0,2,brute force,456.952000000001
5,262144,0,0,10,brute force,789.571
6,262144,0,0,2,Knight (original),0.0652500000000145
6,262144,0,0,2,Knight (extended),0.140110000000022
6,262144,0,0,2,d-a-c,1.18839999999982
6,262144,0,0,4,d-a-c,6.83819999999978
6,262144,0,0,6,d-a-c,14.4409999999996
6,262144,0,0,8,d-a-c,20.5404000000002
6,262144,0,0,10,d-a-c,80.3987999999998
6,262144,0,0,2,brute force,443.257000000001
6,262144,0,0,10,brute force,826.895
7,262144,0,0,2,Knight (original),0.0642900000000009
7,262144,0,0,2,Knight (extended),0.140360000000001
7,262144,0,0,2,d-a-c,1.17680000000037
7,262144,0,0,4,d-a-c,6.79060000000027
7,262144,0,0,6,d-a-c,14.3612000000001
7,262144,0,0,8,d-a-c,20.2838000000003
7,262144,0,0,10,d-a-c,80.6790000000001
7,262144,0,0,2,brute force,468.800000000003
7,262144,0,0,10,brute force,821.308000000001
8,262144,0,0,2,Knight (original),0.0633499999999913
8,262144,0,0,2,Knight (extended),0.140159999999996
8,262144,0,0,2,d-a-c,1.17940000000017
8,262144,0,0,4,d-a-c,6.73399999999965
8,262144,0,0,6,d-a-c,14.4326000000001
8,262144,0,0,8,d-a-c,20.2892
8,262144,0,0,10,d-a-c,80.5802000000003
8,262144,0,0,2,brute force,475.149000000001
8,262144,0,0,10,brute force,822.280000000002
9,262144,0,0,2,Knight (original),0.0639800000000105
9,262144,0,0,2,Knight (extended),0.14010000000002
9,262144,0,0,2,d-a-c,1.18600000000006
9,262144,0,0,4,d-a-c,6.82880000000005
9,262144,0,0,6,d-a-c,14.4295999999995
9,262144,0,0,8,d-a-c,20.4108
9,262144,0,0,10,d-a-c,80.6907999999996
9,262144,0,0,2,brute force,465.394
9,262144,0,0,10,brute force,787.244999999999
10,262144,0,0,2,Knight (original),0.0644099999999889
10,262144,0,0,2,Knight (extended),0.140879999999997
10,262144,0,0,2,d-a-c,1.1637999999999
10,262144,0,0,4,d-a-c,6.77400000000052
10,262144,0,0,6,d-a-c,14.4107999999993
10,262144,0,0,8,d-a-c,20.3608
10,262144,0,0,10,d-a-c,80.443
10,262144,0,0,2,brute force,453.418000000002
10,262144,0,0,10,brute force,815.406999999999
11,262144,0,0,2,Knight (original),0.0639199999999983
11,262144,0,0,2,Knight (extended),0.14101999999999
11,262144,0,0,2,d-a-c,1.18300000000017
11,262144,0,0,4,d-a-c,6.81419999999998
11,262144,0,0,6,d-a-c,14.4392
11,262144,0,0,8,d-a-c,20.5221999999994
11,262144,0,0,10,d-a-c,80.6527999999999
11,262144,0,0,2,brute force,459.84
11,262144,0,0,10,brute force,801.080999999998
12,262144,0,0,2,Knight (original),0.0640700000000288
12,262144,0,0,2,Knight (extended),0.136460000000006
12,262144,0,0,2,d-a-c,1.1637999999999
12,262144,0,0,4,d-a-c,6.73159999999989
12,262144,0,0,6,d-a-c,14.3993999999999
12,262144,0,0,8,d-a-c,20.5050000000003
12,262144,0,0,10,d-a-c,80.6065999999999
12,262144,0,0,2,brute force,469.393
12,262144,0,0,10,brute force,822.909
13,262144,0,0,2,Knight (original),0.0582300000000032
13,262144,0,0,2,Knight (extended),0.120720000000001
13,262144,0,0,2,d-a-c,1.10020000000004
13,262144,0,0,4,d-a-c,6.66879999999946
13,262144,0,0,6,d-a-c,14.6023999999998
13,262144,0,0,8,d-a-c,20.4440000000002
13,262144,0,0,10,d-a-c,80.7171999999999
13,262144,0,0,2,brute force,481.613999999998
13,262144,0,0,10,brute force,812.170999999998
14,262144,0,0,2,Knight (original),0.0587700000000041
14,262144,0,0,2,Knight (extended),0.12997000000003
14,262144,0,0,2,d-a-c,1.14000000000015
14,262144,0,0,4,d-a-c,6.63559999999998
14,262144,0,0,6,d-a-c,14.5057999999997
14,262144,0,0,8,d-a-c,20.5124000000003
14,262144,0,0,10,d-a-c,80.5029999999999
14,262144,0,0,2,brute force,447.812000000002
14,262144,0,0,10,brute force,772.107
15,262144,0,0,2,Knight (original),0.062390000000014
15,262144,0,0,2,Knight (extended),0.156330000000016
15,262144,0,0,2,d-a-c,1.18340000000026
15,262144,0,0,4,d-a-c,6.6648000000001
15,262144,0,0,6,d-a-c,14.4800000000003
15,262144,0,0,8,d-a-c,20.3660000000004
15,262144,0,0,10,d-a-c,80.5309999999998
15,262144,0,0,2,brute force,440.459999999999
15,262144,0,0,10,brute force,754.969000000001
16,262144,0,0,2,Knight (original),0.0582300000000032
16,262144,0,0,2,Knight (extended),0.123830000000016
16,262144,0,0,2,d-a-c,1.13159999999989
16,262144,0,0,4,d-a-c,6.66419999999998
16,262144,0,0,6,d-a-c,14.6447999999997
16,262144,0,0,8,d-a-c,20.5252
16,262144,0,0,10,d-a-c,80.9265999999996
16,262144,0,0,2,brute force,459.009000000002
16,262144,0,0,10,brute force,790.957999999999
17,262144,0,0,2,Knight (original),0.0604400000000169
17,262144,0,0,2,Knight (extended),0.136849999999977
17,262144,0,0,2,d-a-c,1.20879999999961
17,262144,0,0,4,d-a-c,6.73940000000002
17,262144,0,0,6,d-a-c,14.5515999999996
17,262144,0,0,8,d-a-c,20.3932000000001
17,262144,0,0,10,d-a-c,80.5457999999999
17,262144,0,0,2,brute force,437.465
17,262144,0,0,10,brute force,766.751
18,262144,0,0,2,Knight (original),0.0596600000000035
18,262144,0,0,2,Knight (extended),0.123780000000006
18,262144,0,0,2,d-a-c,1.14460000000036
18,262144,0,0,4,d-a-c,6.73600000000006
18,262144,0,0,6,d-a-c,14.6489999999998
18,262144,0,0,8,d-a-c,20.3920000000006
18,262144,0,0,10,d-a-c,80.8257999999994
18,262144,0,0,2,brute force,450.595999999998
18,262144,0,0,10,brute force,801.441999999999
19,262144,0,0,2,Knight (original),0.0580299999999988
19,262144,0,0,2,Knight (extended),0.122179999999971
19,262144,0,0,2,d-a-c,1.10020000000004
19,262144,0,0,4,d-a-c,6.64060000000027
19,262144,0,0,6,d-a-c,14.6944000000003
19,262144,0,0,8,d-a-c,20.6300000000003
19,262144,0,0,10,d-a-c,81.0029999999999
19,262144,0,0,2,brute force,456.255999999998
19,262144,0,0,10,brute force,814.608999999997
20,262144,0,0,2,Knight (original),0.0561100000000079
20,262144,0,0,2,Knight (extended),0.117949999999983
20,262144,0,0,2,d-a-c,1.09159999999974
20,262144,0,0,4,d-a-c,6.53280000000013
20,262144,0,0,6,d-a-c,14.4972000000002
20,262144,0,0,8,d-a-c,20.2428
20,262144,0,0,10,d-a-c,80.9597999999998
20,262144,0,0,2,brute force,466.375
20,262144,0,0,10,brute force,776.960999999999
21,262144,0,0,2,Knight (original),0.0615099999999802
21,262144,0,0,2,Knight (extended),0.125970000000016
21,262144,0,0,2,d-a-c,1.15699999999997
21,262144,0,0,4,d-a-c,6.62279999999955
21,262144,0,0,6,d-a-c,14.4797999999995
21,262144,0,0,8,d-a-c,20.3889999999999
21,262144,0,0,10,d-a-c,80.7586000000003
21,262144,0,0,2,brute force,460.399000000001
21,262144,0,0,10,brute force,792.117999999999
22,262144,0,0,2,Knight (original),0.0595400000000154
22,262144,0,0,2,Knight (extended),0.123949999999968
22,262144,0,0,2,d-a-c,1.13339999999953
22,262144,0,0,4,d-a-c,6.69760000000024
22,262144,0,0,6,d-a-c,14.6668000000005
22,262144,0,0,8,d-a-c,20.4851999999999
22,262144,0,0,10,d-a-c,80.7146000000001
22,262144,0,0,2,brute force,453.731
22,262144,0,0,10,brute force,801.347000000002
23,262144,0,0,2,Knight (original),0.0582400000000052
23,262144,0,0,2,Knight (extended),0.121830000000009
23,262144,0,0,2,d-a-c,1.10659999999989
23,262144,0,0,4,d-a-c,6.65360000000001
23,262144,0,0,6,d-a-c,14.6142
23,262144,0,0,8,d-a-c,20.4925999999999
23,262144,0,0,10,d-a-c,80.5815999999999
23,262144,0,0,2,brute force,467.644
23,262144,0,0,10,brute force,806.132000000001
24,262144,0,0,2,Knight (original),0.0580500000000029
24,262144,0,0,2,Knight (extended),0.122180000000008
24,262144,0,0,2,d-a-c,1.09599999999991
24,262144,0,0,4,d-a-c,6.61100000000006
24,262144,0,0,6,d-a-c,14.8416000000005
24,262144,0,0,8,d-a-c,20.7194000000003
24,262144,0,0,10,d-a-c,81.1004000000001
24,262144,0,0,2,brute force,461.621999999999
24,262144,0,0,10,brute force,780.105
25,262144,0,0,2,Knight (original),0.0581399999999849
25,262144,0,0,2,Knight (extended),0.120659999999989
25,262144,0,0,2,d-a-c,1.1101999999999
25,262144,0,0,4,d-a-c,6.68580000000002
25,262144,0,0,6,d-a-c,14.4530000000006
25,262144,0,0,8,d-a-c,20.4222000000002
25,262144,0,0,10,d-a-c,81.6394
25,262144,0,0,2,brute force,442.141
25,262144,0,0,10,brute force,816.145999999997
26,262144,0,0,2,Knight (original),0.0615600000000268
26,262144,0,0,2,Knight (extended),0.129879999999976
26,262144,0,0,2,d-a-c,1.26920000000027
26,262144,0,0,4,d-a-c,7.05060000000012
26,262144,0,0,6,d-a-c,14.4804000000004
26,262144,0,0,8,d-a-c,20.1476000000002
26,262144,0,0,10,d-a-c,80.9650000000002
26,262144,0,0,2,brute force,455.003000000001
26,262144,0,0,10,brute force,770.007999999998
27,262144,0,0,2,Knight (original),0.0616500000000087
27,262144,0,0,2,Knight (extended),0.133899999999994
27,262144,0,0,2,d-a-c,1.31240000000034
27,262144,0,0,4,d-a-c,7.22520000000004
27,262144,0,0,6,d-a-c,15.0717999999993
27,262144,0,0,8,d-a-c,20.6097999999998
27,262144,0,0,10,d-a-c,80.9724000000002
27,262144,0,0,2,brute force,440.710999999999
27,262144,0,0,10,brute force,793.837
28,262144,0,0,2,Knight (original),0.0588899999999921
28,262144,0,0,2,Knight (extended),0.11757999999998
28,262144,0,0,2,d-a-c,1.09819999999963
28,262144,0,0,4,d-a-c,6.6484000000004
28,262144,0,0,6,d-a-c,14.4686000000002
28,262144,0,0,8,d-a-c,20.4375999999997
28,262144,0,0,10,d-a-c,80.9907999999996
