rep_id,n,tau,rho,p,fun,time
13,8192,0,0,2,d-a-c,0.0123999999999967
13,8192,0,0,4,d-a-c,0.0488
13,8192,0,0,6,d-a-c,0.0934000000000026
13,8192,0,0,8,d-a-c,0.0687999999999988
13,8192,0,0,10,d-a-c,0.1108
13,8192,0,0,2,brute force,0.343000000000018
13,8192,0,0,10,brute force,0.472000000000008
14,8192,0,0,2,Knight (original),0.00179000000000002
14,8192,0,0,2,Knight (extended),0.00332999999999998
14,8192,0,0,2,d-a-c,0.0121999999999957
14,8192,0,0,4,d-a-c,0.048599999999999
14,8192,0,0,6,d-a-c,0.0925999999999988
14,8192,0,0,8,d-a-c,0.0683999999999969
14,8192,0,0,10,d-a-c,0.1118
14,8192,0,0,2,brute force,0.347999999999985
14,8192,0,0,10,brute force,0.472000000000008
15,8192,0,0,2,Knight (original),0.00181999999999988
15,8192,0,0,2,Knight (extended),0.00340000000000003
15,8192,0,0,2,d-a-c,0.0124000000000024
15,8192,0,0,4,d-a-c,0.0490000000000009
15,8192,0,0,6,d-a-c,0.0927999999999997
15,8192,0,0,8,d-a-c,0.0682000000000016
15,8192,0,0,10,d-a-c,0.111600000000004
15,8192,0,0,2,brute force,0.346000000000004
15,8192,0,0,10,brute force,0.469999999999999
16,8192,0,0,2,Knight (original),0.00183000000000021
16,8192,0,0,2,Knight (extended),0.00334000000000003
16,8192,0,0,2,d-a-c,0.0121999999999957
16,8192,0,0,4,d-a-c,0.0481999999999971
16,8192,0,0,6,d-a-c,0.0927999999999997
16,8192,0,0,8,d-a-c,0.0689999999999998
16,8192,0,0,10,d-a-c,0.111200000000002
16,8192,0,0,2,brute force,0.346000000000004
16,8192,0,0,10,brute force,0.469999999999999
17,8192,0,0,2,Knight (original),0.00181000000000012
17,8192,0,0,2,Knight (extended),0.0033499999999998
17,8192,0,0,2,d-a-c,0.0123999999999967
17,8192,0,0,4,d-a-c,0.048599999999999
17,8192,0,0,6,d-a-c,0.093199999999996
17,8192,0,0,8,d-a-c,0.0689999999999998
17,8192,0,0,10,d-a-c,0.1108
17,8192,0,0,2,brute force,0.342999999999989
17,8192,0,0,10,brute force,0.467000000000013
18,8192,0,0,2,Knight (original),0.00178999999999974
18,8192,0,0,2,Knight (extended),0.00332000000000022
18,8192,0,0,2,d-a-c,0.0124000000000024
18,8192,0,0,4,d-a-c,0.0486000000000047
18,8192,0,0,6,d-a-c,0.0926000000000045
18,8192,0,0,8,d-a-c,0.0686000000000036
18,8192,0,0,10,d-a-c,0.111399999999998
18,8192,0,0,2,brute force,0.343000000000018
18,8192,0,0,10,brute force,0.469999999999999
19,8192,0,0,2,Knight (original),0.00175000000000011
19,8192,0,0,2,Knight (extended),0.00330999999999989
19,8192,0,0,2,d-a-c,0.0121999999999957
19,8192,0,0,4,d-a-c,0.0481999999999971
19,8192,0,0,6,d-a-c,0.0925999999999988
19,8192,0,0,8,d-a-c,0.0696000000000026
19,8192,0,0,10,d-a-c,0.111200000000002
19,8192,0,0,2,brute force,0.342000000000013
19,8192,0,0,10,brute force,0.46599999999998
20,8192,0,0,2,Knight (original),0.00179000000000002
20,8192,0,0,2,Knight (extended),0.00332000000000022
20,8192,0,0,2,d-a-c,0.0124000000000024
20,8192,0,0,4,d-a-c,0.048399999999998
20,8192,0,0,6,d-a-c,0.0923999999999978
20,8192,0,0,8,d-a-c,0.0687999999999988
20,8192,0,0,10,d-a-c,0.1118
20,8192,0,0,2,brute force,0.346000000000004
20,8192,0,0,10,brute force,0.469999999999999
21,8192,0,0,2,Knight (original),0.00183000000000021
21,8192,0,0,2,Knight (extended),0.00329999999999984
21,8192,0,0,2,d-a-c,0.0122000000000014
21,8192,0,0,4,d-a-c,0.0481999999999971
